Name,Age,Country,Role,Matches,Experience ( in Yrs),Runs,Strike_Rate,Wickets,Economy,Average,Team_Preference,Auction_Price ( in Cr )
Harshit Chopra,39,India,Allrounder,119,4,3439,148.8,482,7.54,51.05,RR,0.5
Amit Iyer,23,South Africa,Wicketkeeper,55,2,6565,141.8,0,0.0,42.47,DC,7.0
Manoj Malik,26,Sri Lanka,Batter,59,3,6269,104.7,14,6.29,51.45,CSK,0.2
Vikas Sharma,29,South Africa,Bowler,117,5,1141,95.6,151,6.3,23.55,KKR,15.0
Pranav Chopra,42,West Indies,Allrounder,219,9,1726,95.3,99,7.32,25.63,RR,7.0
Amit Patel,26,South Africa,Allrounder,67,3,7468,136.5,442,6.92,42.82,PBKS,0.5
Manoj Khan,28,India,Batter,137,7,3727,137.7,13,6.78,28.3,PBKS,0.2
Manoj Patel,18,England,Allrounder,18,1,7396,139.8,500,6.14,42.74,DC,7.0
Pranav Reddy,27,South Africa,Allrounder,210,9,6041,134.5,105,7.97,39.89,DC,5.0
Pranav Deshmukh,24,Australia,Wicketkeeper,85,4,11477,100.6,0,0.0,32.87,RCB,5.0
Vikas Reddy,18,England,Allrounder,29,1,5119,109.6,266,5.93,54.06,PBKS,7.0
Harshit Khan,39,India,Wicketkeeper,141,7,10945,118.6,0,0.0,51.22,RCB,0.2
Rahul Malik,39,Australia,Allrounder,430,21,8107,142.7,141,7.21,37.59,KKR,1.5
Vikas Naidu,22,India,Batter,29,1,9790,124.6,6,8.02,26.83,PBKS,0.2
Manoj Yadav,40,India,Wicketkeeper,387,13,4246,138.3,0,0.0,29.83,RCB,10.0
Sandeep Shetty,42,Sri Lanka,Bowler,222,14,2283,133.7,335,4.09,26.2,GT,3.0
Harshit Naidu,21,West Indies,Bowler,49,2,1299,152.2,853,7.57,52.02,GT,1.5
Irfan Khan,32,Sri Lanka,Wicketkeeper,190,10,10277,117.2,0,0.0,20.54,GT,0.2
Irfan Kulkarni,32,West Indies,Bowler,137,5,2567,120.7,324,7.53,53.83,SRH,1.0
Aditya Verma,26,Australia,Batter,162,8,8238,146.2,2,9.37,30.31,KKR,1.5
Manoj Deshmukh,22,India,Bowler,32,2,1699,146.1,497,5.46,31.09,RCB,5.0
Manoj Sharma,28,South Africa,Wicketkeeper,234,9,2820,105.2,0,0.0,39.49,KKR,3.0
Karthik Sharma,42,Australia,Wicketkeeper,484,19,9365,151.2,0,0.0,44.36,DC,10.0
Vikas Verma,35,Sri Lanka,Wicketkeeper,123,8,8871,129.2,0,0.0,23.4,RR,2.0
Irfan Naidu,28,West Indies,Bowler,108,7,3714,154.4,483,6.34,24.9,RCB,0.2
Pranav Reddy,36,Sri Lanka,Batter,20,1,3823,147.6,8,7.81,45.93,RCB,5.0
Karthik Singh,30,South Africa,Bowler,125,6,3080,137.1,511,6.65,32.58,DC,7.0
Amit Deshmukh,26,India,Wicketkeeper,60,2,8233,112.6,0,0.0,48.33,GT,3.0
Harshit Kulkarni,25,India,Batter,121,6,6266,147.0,0,8.84,51.96,CSK,7.0
Sandeep Naidu,37,India,Bowler,134,5,2865,125.1,342,5.94,47.94,MI,2.0
Nikhil Mehta,42,India,Bowler,259,12,442,137.1,672,6.47,47.85,MI,3.0
Manoj Deshmukh,18,India,Wicketkeeper,22,1,4169,148.4,0,0.0,31.83,KKR,2.0
Harshit Mehta,40,England,Batter,286,10,10018,100.6,11,7.31,40.24,CSK,0.2
Irfan Reddy,20,India,Batter,43,2,8934,122.9,14,6.13,38.99,LSG,0.2
Sandeep Deshmukh,40,Australia,Wicketkeeper,143,5,10421,112.2,0,0.0,40.68,GT,0.2
Ankit Malik,32,India,Allrounder,140,7,8722,97.2,270,5.11,48.79,KKR,3.0
Nikhil Mehta,25,England,Wicketkeeper,108,7,10598,116.6,0,0.0,24.45,RR,1.0
Vikas Singh,28,England,Wicketkeeper,62,3,7026,126.3,0,0.0,46.95,SRH,2.0
Rahul Yadav,35,Sri Lanka,Bowler,22,1,2828,132.4,567,4.82,22.99,RR,10.0
Harshit Sharma,38,Australia,Wicketkeeper,296,16,9125,98.1,0,0.0,38.6,MI,1.0
Pranav Mehta,40,Sri Lanka,Allrounder,190,8,5849,133.2,216,6.89,45.41,DC,2.0
Ankit Deshmukh,31,Australia,Allrounder,258,12,3559,126.0,158,8.42,31.3,LSG,5.0
Ankit Patel,21,India,Bowler,57,3,886,111.2,836,7.02,35.36,GT,1.0
Rahul Malik,33,Australia,Allrounder,104,5,4456,96.5,131,5.27,53.69,KKR,0.2
Rohan Sharma,27,West Indies,Bowler,24,1,2856,136.8,209,7.18,34.31,CSK,1.0
Irfan Sharma,38,Australia,Batter,360,16,10843,104.4,14,6.61,28.76,PBKS,0.5
Rohan Malik,28,India,Batter,49,3,9565,137.9,15,7.92,43.11,LSG,10.0
Sandeep Shetty,20,Australia,Bowler,17,1,1016,152.3,201,5.06,45.83,PBKS,7.0
Harshit Chopra,35,Sri Lanka,Bowler,323,14,1217,131.7,682,6.11,34.69,RR,3.0
Nikhil Deshmukh,31,India,Batter,102,5,7335,116.4,2,6.87,46.52,MI,10.0
Arjun Patel,23,India,Bowler,43,2,1845,102.0,785,4.05,21.61,RCB,7.0
Amit Yadav,37,Australia,Allrounder,419,16,8541,146.3,272,5.14,44.63,SRH,0.5
Harshit Shetty,20,India,Allrounder,28,1,2440,100.9,318,6.66,37.21,PBKS,10.0
Sameer Verma,25,India,Bowler,97,6,679,105.4,891,5.8,35.18,RCB,3.0
Rahul Naidu,27,South Africa,Wicketkeeper,109,5,10699,118.9,0,0.0,41.55,SRH,7.0
Rahul Mehta,35,South Africa,Wicketkeeper,428,16,7780,133.1,0,0.0,21.59,CSK,10.0
Rahul Yadav,37,India,Batter,203,9,12441,132.6,1,7.31,37.61,PBKS,1.0
Arjun Kulkarni,42,Australia,Wicketkeeper,113,6,9641,146.4,0,0.0,43.05,LSG,0.2
Karthik Singh,38,England,Batter,322,16,13979,99.2,3,6.57,42.48,RR,1.0
Aditya Naidu,23,South Africa,Wicketkeeper,80,3,3101,96.6,0,0.0,40.5,SRH,2.0
Rohan Singh,32,South Africa,Allrounder,57,2,5715,129.5,462,8.29,33.59,MI,7.0
Amit Yadav,18,England,Wicketkeeper,30,1,9742,133.6,0,0.0,36.04,GT,10.0
Rohan Chopra,42,Australia,Bowler,44,2,3607,151.5,795,6.07,33.51,RCB,0.2
Pranav Mehta,33,India,Batter,39,2,12024,149.3,0,9.36,26.85,KKR,2.0
Vikas Malik,35,Sri Lanka,Batter,240,14,13612,101.0,4,6.24,20.64,MI,2.0
Arjun Deshmukh,33,South Africa,Allrounder,438,15,5452,136.0,281,5.33,22.49,SRH,1.0
Manoj Yadav,25,West Indies,Bowler,107,4,3601,145.7,219,5.21,20.81,PBKS,0.2
Ankit Khan,20,Australia,Wicketkeeper,56,2,2542,143.9,0,0.0,29.86,GT,1.5
Irfan Iyer,27,West Indies,Wicketkeeper,136,5,8154,102.1,0,0.0,44.39,LSG,12.0
Karthik Khan,28,India,Wicketkeeper,196,9,11868,132.7,0,0.0,50.71,DC,1.5
Amit Singh,30,South Africa,Wicketkeeper,84,4,4992,139.1,0,0.0,48.12,LSG,2.0
Arjun Mehta,33,India,Bowler,29,1,408,105.6,618,5.07,46.27,DC,5.0
Manoj Malik,32,India,Bowler,30,1,3201,154.4,351,7.07,34.44,RCB,1.5
Pranav Patel,28,West Indies,Wicketkeeper,247,10,7688,117.3,0,0.0,47.17,DC,12.0
Nikhil Patel,38,Australia,Batter,298,16,4480,150.8,13,7.19,50.04,KKR,12.0
Karthik Iyer,21,India,Batter,47,3,8314,140.1,1,7.5,46.41,SRH,1.0
Manoj Iyer,27,West Indies,Allrounder,142,6,6136,149.2,389,5.36,37.68,KKR,2.0
Rahul Mehta,23,India,Bowler,45,2,3738,114.2,677,7.14,51.34,RR,1.0
Pranav Verma,22,Australia,Wicketkeeper,51,2,2653,118.4,0,0.0,20.38,LSG,1.0
Rahul Naidu,32,Australia,Bowler,129,5,2827,100.5,336,7.44,31.18,DC,0.2
Vikas Reddy,32,India,Allrounder,270,14,4624,152.0,332,8.33,40.07,LSG,3.0
Aditya Verma,29,South Africa,Allrounder,220,10,1566,121.9,329,7.21,30.26,CSK,2.0
Irfan Khan,39,India,Wicketkeeper,49,2,8272,114.7,0,0.0,43.54,SRH,0.2
Nikhil Verma,25,India,Bowler,170,6,2647,142.5,120,6.86,47.64,RCB,1.0
Nikhil Singh,27,India,Batter,236,8,7835,124.7,10,6.32,22.01,RCB,10.0
Vikas Iyer,41,England,Bowler,345,14,2055,121.5,359,6.09,51.07,GT,1.0
Harshit Verma,23,India,Wicketkeeper,74,3,3733,116.1,0,0.0,24.1,DC,0.5
Irfan Shetty,22,England,Wicketkeeper,32,2,8964,103.6,0,0.0,46.65,GT,2.0
Karthik Singh,18,South Africa,Batter,26,1,4775,101.1,7,8.16,22.94,SRH,15.0
Sameer Mehta,33,India,Allrounder,29,1,8949,99.4,398,7.45,48.77,KKR,1.0
Sandeep Sharma,27,Australia,Batter,168,7,4902,99.9,3,8.47,22.97,CSK,5.0
Manoj Naidu,25,West Indies,Bowler,128,5,2405,117.5,840,7.75,32.97,DC,7.0
Pranav Patel,41,South Africa,Wicketkeeper,110,5,3036,143.8,0,0.0,53.15,LSG,1.0
Karthik Naidu,40,England,Bowler,205,12,2808,140.2,456,7.75,33.17,KKR,5.0
Manoj Verma,35,India,Batter,296,12,4501,141.6,6,6.29,39.54,KKR,1.5
Amit Shetty,38,India,Batter,364,20,12250,149.4,6,7.48,23.89,DC,3.0
Irfan Malik,20,England,Bowler,19,1,3230,95.7,690,5.87,36.4,KKR,3.0
Sandeep Chopra,18,India,Bowler,18,1,2707,102.1,106,4.21,24.11,SRH,3.0
Harshit Shetty,22,England,Allrounder,15,1,2927,139.8,175,7.27,40.42,KKR,0.2
Arjun Patel,19,Sri Lanka,Wicketkeeper,29,1,8431,152.7,0,0.0,33.12,MI,7.0
Arjun Yadav,34,India,Wicketkeeper,106,4,11043,112.1,0,0.0,50.4,PBKS,1.5
Amit Naidu,27,South Africa,Batter,207,8,4768,152.8,15,6.78,20.43,RR,0.5
Sameer Patel,40,India,Batter,241,15,5067,97.6,8,9.39,51.19,DC,0.2
Manoj Mehta,37,Australia,Allrounder,517,19,5641,154.6,349,6.85,22.58,GT,3.0
Irfan Kulkarni,31,India,Batter,43,2,10398,153.2,7,7.94,38.31,GT,5.0
Manoj Reddy,31,England,Wicketkeeper,144,6,7620,132.8,0,0.0,44.35,MI,0.2
Sandeep Kulkarni,39,India,Allrounder,158,9,8313,132.7,83,6.59,40.45,LSG,2.0
Aditya Deshmukh,20,India,Batter,47,2,3982,97.7,10,9.15,29.83,DC,1.0
Ankit Malik,39,India,Wicketkeeper,78,4,7619,152.0,0,0.0,51.16,RR,5.0
Sandeep Kulkarni,29,India,Bowler,57,2,443,132.2,438,5.73,29.71,LSG,0.5
Harshit Verma,35,India,Batter,289,12,12190,122.8,0,6.66,32.37,PBKS,5.0
Sandeep Verma,37,England,Batter,224,9,3100,99.7,5,8.04,54.1,SRH,1.5
Sandeep Deshmukh,22,India,Batter,107,4,11691,136.9,6,9.45,38.76,CSK,10.0
Ankit Iyer,30,Australia,Wicketkeeper,197,7,7814,113.6,0,0.0,48.48,DC,0.5
Sameer Sharma,42,India,Batter,310,19,14042,104.8,2,8.4,51.88,RCB,1.5
Karthik Mehta,26,South Africa,Wicketkeeper,154,8,6031,144.4,0,0.0,53.24,LSG,0.2
Ankit Reddy,42,Australia,Batter,504,17,11633,131.8,9,8.54,34.64,MI,10.0
Nikhil Sharma,19,India,Wicketkeeper,24,1,5960,151.0,0,0.0,50.31,CSK,10.0
Rohan Singh,42,India,Allrounder,138,5,7619,96.6,260,5.16,33.18,MI,1.0
Arjun Deshmukh,23,West Indies,Wicketkeeper,47,2,8302,143.6,0,0.0,54.55,KKR,5.0
Manoj Sharma,20,India,Batter,57,2,8129,130.6,13,6.53,33.33,LSG,7.0
Rohan Patel,36,India,Wicketkeeper,278,13,5315,153.2,0,0.0,49.47,RR,3.0
Rahul Reddy,37,India,Allrounder,336,15,6324,123.1,245,7.93,34.52,MI,3.0
Irfan Verma,34,India,Wicketkeeper,66,3,5254,111.4,0,0.0,21.97,DC,1.0
Sameer Shetty,20,England,Bowler,19,1,967,143.8,185,7.29,54.99,DC,0.2
Sandeep Mehta,22,India,Bowler,56,3,3896,128.3,871,7.79,46.91,RCB,10.0
Harshit Mehta,38,Sri Lanka,Wicketkeeper,414,16,11748,151.7,0,0.0,49.74,PBKS,10.0
Irfan Kulkarni,38,India,Allrounder,525,20,2059,122.0,280,5.87,24.52,DC,3.0
Harshit Verma,32,India,Allrounder,255,11,5656,131.4,77,8.34,28.0,PBKS,1.5
Amit Sharma,27,Australia,Wicketkeeper,129,8,3979,135.3,0,0.0,41.63,DC,1.5
Karthik Mehta,37,India,Wicketkeeper,485,17,11866,116.5,0,0.0,23.97,GT,5.0
Nikhil Naidu,38,India,Allrounder,112,7,5190,126.2,92,7.35,47.03,GT,10.0
Amit Yadav,28,Sri Lanka,Bowler,46,2,2141,146.1,704,5.98,39.32,LSG,10.0
Sameer Verma,23,South Africa,Allrounder,66,3,7061,147.6,346,6.96,34.12,RR,7.0
Ankit Patel,19,South Africa,Batter,24,1,7128,96.7,4,6.47,46.43,GT,5.0
Sameer Singh,28,South Africa,Bowler,34,2,2437,137.2,805,6.36,27.45,SRH,0.2
Pranav Shetty,20,India,Wicketkeeper,51,2,11124,103.2,0,0.0,20.51,DC,0.5
Amit Singh,20,India,Allrounder,60,2,3254,130.4,214,6.23,33.73,SRH,10.0
Vikas Iyer,42,India,Bowler,315,16,3458,149.2,887,5.66,32.19,RCB,3.0
Pranav Singh,21,India,Batter,83,3,9172,142.0,4,7.8,33.88,PBKS,0.2
Aditya Naidu,23,South Africa,Bowler,41,2,2770,146.7,816,6.36,53.23,CSK,0.2
Harshit Deshmukh,25,India,Allrounder,94,4,3459,150.6,198,5.51,37.22,LSG,5.0
Ankit Kulkarni,33,Sri Lanka,Bowler,343,15,3151,122.5,368,4.98,54.3,PBKS,0.2
Sandeep Malik,42,India,Wicketkeeper,259,13,3354,124.6,0,0.0,31.51,KKR,0.5
Arjun Khan,38,West Indies,Allrounder,457,16,2521,109.4,185,7.22,22.66,MI,3.0
Karthik Khan,20,India,Allrounder,28,1,2251,102.7,153,5.45,25.32,GT,5.0
Manoj Sharma,32,West Indies,Batter,137,6,6862,133.5,12,6.49,26.37,RR,5.0
Amit Singh,20,England,Bowler,55,2,598,148.8,220,5.31,36.59,MI,1.0
Aditya Malik,19,Sri Lanka,Wicketkeeper,29,1,2586,135.1,0,0.0,26.03,RCB,5.0
Vikas Malik,20,West Indies,Allrounder,28,1,2410,97.5,437,5.67,25.91,RCB,1.0
Rahul Sharma,27,South Africa,Allrounder,100,4,8003,105.6,358,5.98,23.1,KKR,1.5
Irfan Khan,32,West Indies,Batter,30,2,13353,122.6,7,6.42,27.22,LSG,5.0
Manoj Sharma,40,England,Allrounder,105,5,6174,125.2,253,6.27,44.16,PBKS,5.0
Rahul Chopra,23,West Indies,Allrounder,15,1,4698,143.0,487,5.14,41.98,GT,7.0
Ankit Verma,33,England,Wicketkeeper,17,1,8149,99.9,0,0.0,50.58,CSK,5.0
Harshit Mehta,25,India,Batter,95,6,8772,98.7,10,9.22,29.69,DC,3.0
Aditya Naidu,38,India,Wicketkeeper,98,6,9998,143.4,0,0.0,46.19,RCB,0.2
Amit Shetty,19,India,Bowler,25,1,3823,107.6,397,4.7,32.97,KKR,1.5
Rohan Sharma,34,Australia,Wicketkeeper,286,13,3283,124.1,0,0.0,41.64,KKR,1.0
Rahul Shetty,38,South Africa,Allrounder,267,11,7589,122.8,265,6.29,46.16,DC,1.0
Karthik Deshmukh,30,England,Bowler,156,6,1092,110.1,900,4.14,44.97,LSG,12.0
Manoj Mehta,20,West Indies,Batter,39,2,8262,125.7,3,9.13,38.62,RCB,1.5
Rohan Naidu,20,South Africa,Allrounder,35,2,7150,121.8,267,5.38,38.64,PBKS,10.0
Aditya Malik,29,South Africa,Batter,155,8,13477,111.2,1,6.85,33.2,DC,3.0
Arjun Shetty,20,India,Allrounder,34,2,8452,114.3,351,5.07,27.4,RCB,7.0
Sandeep Patel,39,England,Batter,317,15,9272,102.2,1,7.15,51.17,KKR,2.0
Ankit Singh,37,India,Wicketkeeper,148,5,4755,130.6,0,0.0,43.77,LSG,3.0
Ankit Kulkarni,34,India,Wicketkeeper,209,12,2924,142.4,0,0.0,37.45,SRH,2.0
Arjun Reddy,41,India,Wicketkeeper,123,6,6764,100.2,0,0.0,38.8,GT,0.5
Nikhil Verma,40,India,Bowler,256,15,555,139.7,155,6.23,35.11,LSG,5.0
Rahul Shetty,32,England,Wicketkeeper,90,3,3563,102.7,0,0.0,29.93,DC,1.0
Irfan Iyer,35,England,Allrounder,280,10,3336,133.8,102,6.27,39.98,RCB,0.2
Harshit Naidu,24,England,Bowler,47,2,2344,154.2,457,5.35,41.2,CSK,5.0
Nikhil Khan,32,India,Bowler,274,13,1630,101.1,814,4.9,25.35,MI,0.5
Harshit Reddy,41,India,Wicketkeeper,272,16,7694,109.8,0,0.0,25.62,PBKS,12.0
Karthik Kulkarni,38,England,Wicketkeeper,53,3,11532,106.2,0,0.0,29.98,GT,12.0
Harshit Iyer,38,West Indies,Bowler,313,19,3405,148.8,207,4.66,22.81,RR,10.0
Sandeep Iyer,34,India,Allrounder,119,5,5750,119.6,498,6.84,54.38,DC,1.5
Vikas Kulkarni,27,Australia,Allrounder,34,2,6620,118.9,195,5.39,53.93,GT,0.2
Arjun Kulkarni,37,India,Batter,357,18,13792,144.0,10,9.03,29.03,RCB,10.0
Rahul Sharma,36,Australia,Batter,50,2,6453,135.1,13,6.6,52.53,PBKS,2.0
Sameer Kulkarni,37,Australia,Wicketkeeper,24,1,10412,128.4,0,0.0,40.01,GT,12.0
Rohan Naidu,25,India,Wicketkeeper,125,7,9702,111.8,0,0.0,46.93,MI,12.0
Vikas Singh,31,India,Wicketkeeper,160,8,7731,106.2,0,0.0,31.33,PBKS,7.0
Sandeep Shetty,41,West Indies,Wicketkeeper,323,12,4239,120.5,0,0.0,37.77,DC,1.0
Rahul Verma,28,India,Wicketkeeper,69,4,4086,109.5,0,0.0,24.02,LSG,1.5
Irfan Mehta,19,India,Wicketkeeper,20,1,7864,131.6,0,0.0,30.1,RR,7.0
Harshit Iyer,36,West Indies,Bowler,284,11,2042,104.3,395,6.21,36.84,LSG,1.0
Manoj Chopra,33,India,Batter,21,1,12557,98.1,11,7.86,31.78,LSG,0.5
Karthik Mehta,19,Australia,Allrounder,15,1,8440,98.8,95,5.47,54.65,LSG,3.0
Aditya Singh,31,England,Allrounder,47,3,4781,143.6,66,6.13,28.91,RR,10.0
Ankit Chopra,36,India,Bowler,467,18,2065,140.6,541,6.59,40.85,SRH,5.0
Irfan Mehta,42,India,Allrounder,335,18,2292,119.7,241,6.65,32.21,PBKS,3.0
Harshit Iyer,29,West Indies,Allrounder,141,6,5596,144.8,60,8.25,53.78,KKR,0.2
Aditya Singh,19,West Indies,Bowler,29,1,610,138.9,700,4.47,52.84,LSG,3.0
Sameer Mehta,34,India,Allrounder,125,5,6550,99.0,418,5.63,45.94,DC,15.0
Aditya Mehta,27,Sri Lanka,Wicketkeeper,92,6,8535,129.5,0,0.0,49.46,SRH,0.5
Nikhil Verma,28,Sri Lanka,Wicketkeeper,38,2,11977,103.4,0,0.0,47.83,CSK,2.0
Nikhil Naidu,36,West Indies,Batter,200,8,14815,104.8,12,6.71,25.75,RCB,10.0
Nikhil Deshmukh,22,India,Batter,30,2,10225,134.9,10,8.85,38.31,MI,5.0
Aditya Yadav,31,West Indies,Wicketkeeper,84,3,10226,116.5,0,0.0,50.7,RR,5.0
Arjun Yadav,41,England,Bowler,51,2,1959,144.0,618,5.49,35.37,GT,5.0
Karthik Khan,30,England,Bowler,159,6,1451,122.8,772,5.43,30.55,GT,1.5
Nikhil Naidu,42,India,Allrounder,502,24,6071,125.2,192,7.62,28.13,KKR,1.0
Aditya Yadav,25,England,Allrounder,75,3,4357,118.0,326,8.15,39.02,LSG,7.0
Rahul Mehta,41,South Africa,Allrounder,236,9,8204,132.5,216,8.17,24.09,GT,7.0
Amit Verma,42,England,Allrounder,131,5,6873,132.7,171,8.29,31.72,MI,10.0
Vikas Malik,41,Australia,Bowler,478,16,2302,142.6,792,4.53,41.7,GT,10.0
Nikhil Deshmukh,26,India,Batter,60,3,3831,148.6,7,7.87,47.6,PBKS,2.0
Rahul Reddy,38,Sri Lanka,Batter,132,8,14160,113.7,4,6.53,28.7,DC,2.0
Pranav Khan,18,Sri Lanka,Wicketkeeper,21,1,7206,139.6,0,0.0,21.17,LSG,7.0
Sameer Shetty,28,India,Batter,143,5,14847,140.7,1,7.99,50.69,MI,5.0
Sameer Khan,23,South Africa,Bowler,110,4,2029,144.3,270,5.3,23.87,CSK,5.0
